file,id,title
note/2전극 EIS.md,EIS_TWO_ELECTRODE,2전극 EIS
note/3전극 EIS.md,EIS_THREE_ELECTRODE,3전극 EIS
note/4전극 EIS.md,EIS_FOUR_ELECTRODE,4전극 EIS
note/CPE 유효 정전용량.md,EIS_CPE_EFFECTIVE_CAPACITANCE,CPE 유효 정전용량
note/CPE 지수.md,EIS_CPE_EXPONENT,CPE 지수
note/DRT 경계 효과.md,EIS_DRT_BOUNDARY_EFFECT,DRT 경계 효과
note/DRT 불확실성.md,EIS_DRT_UNCERTAINTY,DRT 불확실성
note/DRT 선도.md,EIS_DRT_PLOT,DRT 선도
note/DRT 정칙화.md,EIS_DRT_REGULARIZATION,DRT 정칙화
note/DRT 커널 함수.md,EIS_DRT_KERNEL,DRT 커널 함수
note/DRT 해상도.md,EIS_DRT_RESOLUTION,DRT 해상도
note/EIS 기계 학습.md,EIS_MACHINE_LEARNING,EIS 기계 학습
note/EIS 데이터 전처리.md,EIS_PREPROCESSING,EIS 데이터 전처리
note/EIS 매개변수 회귀.md,EIS_PARAMETER_REGRESSION,EIS 매개변수 회귀
note/EIS 메타데이터.md,EIS_METADATA,EIS 메타데이터
note/EIS 모델 비교.md,EIS_MODEL_COMPARISON,EIS 모델 비교
note/EIS 모델 식별가능성.md,EIS_MODEL_IDENTIFIABILITY,EIS 모델 식별가능성
note/EIS 분포 이동.md,EIS_DOMAIN_SHIFT,EIS 분포 이동
note/EIS 선형성.md,EIS_LINEARITY,EIS 선형성
note/EIS 셀 구성.md,EIS_CELL_CONFIGURATION,EIS 셀 구성
note/EIS 이상치.md,EIS_OUTLIER,EIS 이상치
note/EIS 잔차 가중.md,EIS_WEIGHTING,EIS 잔차 가중
note/EIS 잡음.md,EIS_NOISE,EIS 잡음
note/EIS 재현성.md,EIS_REPRODUCIBILITY,EIS 재현성
note/EIS 정상성.md,EIS_STATIONARITY,EIS 정상성
note/EIS 최소 보고 항목.md,EIS_MINIMUM_REPORTING,EIS 최소 보고 항목
note/EIS 측정 시간.md,EIS_ACQUISITION_TIME,EIS 측정 시간
note/L-곡선.md,EIS_L_CURVE,L-곡선
note/L1 정칙화.md,EIS_L1_REGULARIZATION,L1 정칙화
note/RC 사다리 회로.md,EIS_RC_LADDER,RC 사다리 회로
note/R–CPE 모델.md,EIS_R_CPE_MODEL,R–CPE 모델
note/Z-HIT.md,EIS_ZHIT,Z-HIT
note/각주파수.md,EIS_ANGULAR_FREQUENCY,각주파수
note/개방회로 EIS.md,EIS_OCP_MEASUREMENT,개방회로 EIS
note/게리셔 임피던스.md,EIS_GERISCHER,게리셔 임피던스
note/계면 전하 이동.md,EIS_CHARGE_TRANSFER,계면 전하 이동
note/계면막 임피던스 모델.md,EIS_FILM_MODEL,계면막 임피던스 모델
note/계면막.md,EIS_INTERFACIAL_FILM,계면막
note/계의 변화 시간척도.md,EIS_SYSTEM_EVOLUTION_TIME,계의 변화 시간척도
note/계측기 대역폭.md,EIS_INSTRUMENT_BANDWIDTH,계측기 대역폭
note/고주파 계측 왜곡.md,EIS_HIGH_FREQUENCY_ARTIFACT,고주파 계측 왜곡
note/고체 내 확산.md,EIS_SOLID_STATE_DIFFUSION,고체 내 확산
note/고체 전해질 EIS.md,EIS_SOLID_ELECTROLYTE_APPLICATION,고체 전해질 EIS
note/과도한 매개변수화.md,EIS_OVERPARAMETERIZATION,과도한 매개변수화
note/과적합.md,EIS_OVERFITTING,과적합
note/광대역 자극.md,EIS_BROADBAND_EXCITATION,광대역 자극
note/교류 전류 응답.md,EIS_CURRENT_RESPONSE,교류 전류 응답
note/교류 전압 응답.md,EIS_VOLTAGE_RESPONSE,교류 전압 응답
note/교환 전류 밀도.md,EIS_EXCHANGE_CURRENT,교환 전류 밀도
note/구조적 식별가능성.md,EIS_STRUCTURAL_IDENTIFIABILITY,구조적 식별가능성
note/기생 인덕턴스 왜곡.md,EIS_INDUCTIVE_ARTIFACT,기생 인덕턴스 왜곡
note/기생 정전용량.md,EIS_STRAY_CAPACITANCE,기생 정전용량
note/기준 전극 위치.md,EIS_REFERENCE_PLACEMENT,기준 전극 위치
note/기준 전극.md,EIS_REFERENCE_ELECTRODE,기준 전극
note/나이퀴스트 선도.md,EIS_NYQUIST_PLOT,나이퀴스트 선도
note/능동 주파수 선택.md,EIS_ACTIVE_FREQUENCY_SELECTION,능동 주파수 선택
note/다공성 전극 수송.md,EIS_POROUS_ELECTRODE_TRANSPORT,다공성 전극 수송
note/다공성 전극 전송선 모델.md,EIS_POROUS_TLM,다공성 전극 전송선 모델
note/다중 사인 EIS.md,EIS_MULTISINE,다중 사인 EIS
note/단일 사인 EIS.md,EIS_SINGLE_SINE,단일 사인 EIS
note/도막 EIS.md,EIS_COATING_APPLICATION,도막 EIS
note/동적 EIS.md,EIS_DYNAMIC_EIS,동적 EIS
note/동적 안정성.md,EIS_STABILITY,동적 안정성
note/등가회로 모델.md,EIS_EQUIVALENT_CIRCUIT,등가회로 모델
note/등가회로 분류.md,EIS_CIRCUIT_CLASSIFICATION,등가회로 분류
note/랜들스 회로.md,EIS_RANDLES_CIRCUIT,랜들스 회로
note/매개변수 경계.md,EIS_PARAMETER_BOUNDS,매개변수 경계
note/매개변수 공분산.md,EIS_COVARIANCE,매개변수 공분산
note/매개변수 상관.md,EIS_PARAMETER_CORRELATION,매개변수 상관
note/매개변수 신뢰구간.md,EIS_CONFIDENCE_INTERVAL,매개변수 신뢰구간
note/모의 셀 검사.md,EIS_DUMMY_CELL,모의 셀 검사
note/물리 기반 임피던스 모델.md,EIS_PHYSICS_BASED_MODEL,물리 기반 임피던스 모델
note/물리 유도형 EIS 기계 학습.md,EIS_PHYSICS_GUIDED_ML,물리 유도형 EIS 기계 학습
note/물질 전달.md,EIS_MASS_TRANSPORT,물질 전달
note/반무한 와버그 임피던스.md,EIS_WARBURG_SEMI_INFINITE,반무한 와버그 임피던스
note/반무한 확산.md,EIS_SEMI_INFINITE_DIFFUSION,반무한 확산
note/반복 측정.md,EIS_REPEATABILITY,반복 측정
note/반응–확산 결합.md,EIS_REACTION_DIFFUSION,반응–확산 결합
note/배터리 EIS.md,EIS_BATTERY_APPLICATION,배터리 EIS
note/버틀러–볼머 식.md,EIS_BUTLER_VOLMER,버틀러–볼머 식
note/베이즈 DRT.md,EIS_BAYESIAN_DRT,베이즈 DRT
note/베이즈 모형 선택.md,EIS_BAYESIAN_MODEL_SELECTION,베이즈 모형 선택
note/병렬 RC 완화.md,EIS_PARALLEL_RC,병렬 RC 완화
note/병렬 연결.md,EIS_PARALLEL_CONNECTION,병렬 연결
note/보드 선도.md,EIS_BODE_PLOT,보드 선도
note/보드 위상 선도.md,EIS_BODE_PHASE,보드 위상 선도
note/보드 크기 선도.md,EIS_BODE_MAGNITUDE,보드 크기 선도
note/복소 비선형 최소제곱법.md,EIS_CNLS,복소 비선형 최소제곱법
note/복소 어드미턴스.md,EIS_ADMITTANCE,복소 어드미턴스
note/복소 임피던스.md,EIS_COMPLEX_IMPEDANCE,복소 임피던스
note/복소 전기 모듈러스.md,EIS_COMPLEX_MODULUS,복소 전기 모듈러스
note/복소 정전용량.md,EIS_COMPLEX_CAPACITANCE,복소 정전용량
note/복소수.md,EIS_COMPLEX_NUMBER,복소수
note/부식 EIS.md,EIS_CORROSION_APPLICATION,부식 EIS
note/분포 완화 모델.md,EIS_DISTRIBUTED_RELAXATION,분포 완화 모델
note/분포 외 탐지.md,EIS_OOD_DETECTION,분포 외 탐지
note/비선형 왜곡.md,EIS_NONLINEAR_DISTORTION,비선형 왜곡
note/사인파 자극.md,EIS_SINUSOID,사인파 자극
note/사후예측검사.md,EIS_POSTERIOR_PREDICTIVE,사후예측검사
note/상대 전극.md,EIS_COUNTER_ELECTRODE,상대 전극
note/상수 위상 요소.md,EIS_CPE,상수 위상 요소
note/선형 시불변 시스템.md,EIS_LTI_SYSTEM,선형 시불변 시스템
note/선형 크래머스–크로닉 검사.md,EIS_LIN_KK,선형 크래머스–크로닉 검사
note/셀 기하 왜곡.md,EIS_GEOMETRY_ARTIFACT,셀 기하 왜곡
note/소신호 근사.md,EIS_SMALL_SIGNAL,소신호 근사
note/스펙트럼 누설.md,EIS_SPECTRAL_LEAKAGE,스펙트럼 누설
note/시간상수.md,EIS_TIME_CONSTANT,시간상수
note/실용적 식별가능성.md,EIS_PRACTICAL_IDENTIFIABILITY,실용적 식별가능성
note/어드미턴스 표현.md,EIS_ADMITTANCE_PLOT,어드미턴스 표현
note/연료전지 EIS.md,EIS_FUEL_CELL_APPLICATION,연료전지 EIS
note/예측 불확실성 보정.md,EIS_UNCERTAINTY_CALIBRATION,예측 불확실성 보정
note/오일러 공식.md,EIS_EULER_RELATION,오일러 공식
note/완화 과정.md,EIS_RELAXATION_PROCESS,완화 과정
note/완화 시간 분포.md,EIS_DRT,완화 시간 분포
note/용액 저항.md,EIS_SOLUTION_RESISTANCE,용액 저항
note/원시 EIS 데이터.md,EIS_RAW_DATA,원시 EIS 데이터
note/위상각.md,EIS_PHASE_ANGLE,위상각
note/유도성 루프.md,EIS_INDUCTIVE_LOOP,유도성 루프
note/유한 길이 와버그 임피던스.md,EIS_WARBURG_FINITE,유한 길이 와버그 임피던스
note/유한 주파수 대역.md,EIS_FINITE_BANDWIDTH,유한 주파수 대역
note/유한 확산.md,EIS_FINITE_DIFFUSION,유한 확산
note/이산 DRT.md,EIS_DISCRETE_DRT,이산 DRT
note/이상적 인덕터.md,EIS_INDUCTOR,이상적 인덕터
note/이상적 저항기.md,EIS_RESISTOR,이상적 저항기
note/이상적 축전기.md,EIS_CAPACITOR,이상적 축전기
note/이온 전도.md,EIS_IONIC_CONDUCTION,이온 전도
note/이중층 정전용량.md,EIS_DOUBLE_LAYER_CAPACITANCE,이중층 정전용량
note/이중층 충전.md,EIS_DOUBLE_LAYER_CHARGING,이중층 충전
note/인과성.md,EIS_CAUSALITY,인과성
note/일반화 교차검증.md,EIS_GCV,일반화 교차검증
note/임피던스 실수부.md,EIS_REAL_PART,임피던스 실수부
note/임피던스 크기.md,EIS_IMPEDANCE_MAGNITUDE,임피던스 크기
note/임피던스 허수부.md,EIS_IMAGINARY_PART,임피던스 허수부
note/자극 진폭.md,EIS_AMPLITUDE,자극 진폭
note/작업 전극.md,EIS_WORKING_ELECTRODE,작업 전극
note/잔차 분석.md,EIS_RESIDUAL_ANALYSIS,잔차 분석
note/잔차 스펙트럼.md,EIS_RESIDUAL_SPECTRUM,잔차 스펙트럼
note/저주파 비정상성 왜곡.md,EIS_LOW_FREQUENCY_ARTIFACT,저주파 비정상성 왜곡
note/전기장에 의한 이온 이동.md,EIS_MIGRATION,전기장에 의한 이온 이동
note/전기촉매 EIS.md,EIS_ELECTROCATALYSIS_APPLICATION,전기촉매 EIS
note/전기화학 임피던스 분광법.md,EIS_ELECTROCHEMICAL_IMPEDANCE_SPECTROSCOPY,전기화학 임피던스 분광법
note/전기화학 작동점.md,EIS_OPERATING_POINT,전기화학 작동점
note/전달함수.md,EIS_TRANSFER_FUNCTION,전달함수
note/전류 범위 전환 왜곡.md,EIS_RANGE_SWITCHING,전류 범위 전환 왜곡
note/전류 분포.md,EIS_CURRENT_DISTRIBUTION,전류 분포
note/전류 제어 EIS.md,EIS_GALVANOSTATIC,전류 제어 EIS
note/전송선 요소.md,EIS_TRANSMISSION_LINE_ELEMENT,전송선 요소
note/전위 제어 EIS.md,EIS_POTENTIOSTATIC,전위 제어 EIS
note/전자 전도.md,EIS_ELECTRONIC_CONDUCTION,전자 전도
note/전하 이동 저항.md,EIS_CHARGE_TRANSFER_RESISTANCE,전하 이동 저항
note/접촉 저항.md,EIS_CONTACT_RESISTANCE,접촉 저항
note/정보 기준.md,EIS_INFORMATION_CRITERIA,정보 기준
note/정전류기.md,EIS_GALVANOSTAT,정전류기
note/정전위기.md,EIS_POTENTIOSTAT,정전위기
note/정칙화 매개변수.md,EIS_REGULARIZATION_PARAMETER,정칙화 매개변수
note/제외 대역 예측.md,EIS_OUT_OF_BAND_PREDICTION,제외 대역 예측
note/주기 수와 적분 시간.md,EIS_CYCLES_INTEGRATION,주기 수와 적분 시간
note/주기.md,EIS_PERIOD,주기
note/주파수 격자.md,EIS_FREQUENCY_GRID,주파수 격자
note/주파수 대역 삭제 검증.md,EIS_BAND_DELETION,주파수 대역 삭제 검증
note/주파수 응답 분석기.md,EIS_FRA,주파수 응답 분석기
note/주파수 응답.md,EIS_FREQUENCY_RESPONSE,주파수 응답
note/주파수 측정 순서 효과.md,EIS_FREQUENCY_ORDER,주파수 측정 순서 효과
note/주파수.md,EIS_FREQUENCY,주파수
note/직렬 연결.md,EIS_SERIES_CONNECTION,직렬 연결
note/진폭 의존성 검사.md,EIS_AMPLITUDE_TEST,진폭 의존성 검사
note/차단 전극 모델.md,EIS_BLOCKING_ELECTRODE_MODEL,차단 전극 모델
note/차폐와 접지.md,EIS_SHIELDING_GROUNDING,차폐와 접지
note/창 함수 적용.md,EIS_WINDOWING,창 함수 적용
note/초기 매개변수.md,EIS_INITIAL_GUESS,초기 매개변수
note/측정 전 평형화.md,EIS_EQUILIBRATION,측정 전 평형화
note/측정 중 드리프트.md,EIS_DRIFT,측정 중 드리프트
note/케이블과 측정 지그.md,EIS_CABLE_FIXTURE,케이블과 측정 지그
note/크래머스–크로닉 관계.md,EIS_KRAMERS_KRONIG,크래머스–크로닉 관계
note/특성 주파수.md,EIS_CHARACTERISTIC_FREQUENCY,특성 주파수
note/티호노프 정칙화.md,EIS_TIKHONOV_REGULARIZATION,티호노프 정칙화
note/패러데이 전극 모델.md,EIS_FARADAIC_ELECTRODE_MODEL,패러데이 전극 모델
note/페이저.md,EIS_PHASOR,페이저
note/표면 피복률.md,EIS_SURFACE_COVERAGE,표면 피복률
note/프로파일 우도.md,EIS_PROFILE_LIKELIHOOD,프로파일 우도
note/픽 확산 법칙.md,EIS_FICK_LAW,픽 확산 법칙
note/허수 단위.md,EIS_IMAGINARY_UNIT,허수 단위
note/확산 시간.md,EIS_DIFFUSION_TIME,확산 시간
note/확산 임피던스 모델.md,EIS_DIFFUSION_MODEL,확산 임피던스 모델
note/확산.md,EIS_DIFFUSION,확산
note/확산계수.md,EIS_DIFFUSION_COEFFICIENT,확산계수
note/회로 구조.md,EIS_CIRCUIT_TOPOLOGY,회로 구조
note/회로 구조의 비고유성.md,EIS_TOPOLOGY_NONUNIQUENESS,회로 구조의 비고유성
note/흡착 완화.md,EIS_ADSORPTION_RELAXATION,흡착 완화
note/흡착 임피던스 모델.md,EIS_ADSORPTION_MODEL,흡착 임피던스 모델
moc/EIS 기본 원리.md,MOC_PRINCIPLES,EIS 기본 원리
moc/검증과 측정 왜곡.md,MOC_VALIDATION,검증과 측정 왜곡
moc/데이터 표현.md,MOC_REPRESENTATIONS,데이터 표현
moc/등가회로와 물리 모델.md,MOC_MODELS,등가회로와 물리 모델
moc/분석과 역문제.md,MOC_ANALYSIS,분석과 역문제
moc/수학과 신호 기초.md,MOC_FOUNDATIONS,수학과 신호 기초
moc/응용과 보고.md,MOC_APPLICATIONS,응용과 보고
moc/전기화학 과정.md,MOC_PROCESSES,전기화학 과정
moc/측정과 계측.md,MOC_MEASUREMENT,측정과 계측
moc/회로 요소.md,MOC_ELEMENTS,회로 요소
graph/EIS 개념 연결 지도.md,GRAPH_EIS_OVERVIEW,EIS 개념 연결 지도
graph/EIS 검증과 측정 왜곡.md,GRAPH_VALIDATION,EIS 검증과 측정 왜곡
graph/EIS 분석과 역문제.md,GRAPH_INVERSE_PROBLEM,EIS 분석과 역문제
graph/EIS 응용 연결 지도.md,GRAPH_APPLICATIONS,EIS 응용 연결 지도
graph/EIS 측정 경로.md,GRAPH_MEASUREMENT_CHAIN,EIS 측정 경로
graph/주파수와 시간척도.md,GRAPH_TIME_SCALES,주파수와 시간척도
graph/회로 요소와 전기화학 과정.md,GRAPH_CIRCUIT_PROCESS,회로 요소와 전기화학 과정
pages/EIS 지식 위키.md,PAGE_HOME,EIS 지식 위키
